target;age;educ;work_exp;interest;coffee;boss_educ;passport;green;floor;children;climate;offhour;dist;salary;heigh;lunch
0;31;2;8;1;0;2;1;3;4;1;2;0;15.60;1;184;272
1;46;2;29;6;0;4;1;4;16;0;1;1;15;0;181;439
0;42;4;20;6;1.80;4;1;1;12;0;3;0;12.50;1;168;281
0;44;1;19;6;2.20;4;0;3;7;2;2;0;14;1;192;318
0;47;1;29;5;0;4;1;1;4;2;1;0;10.40;0;175;304
1;31;4;10;8;0;6;1;5;4;1;2;1;14.20;0;178;182
0;46;1;29;5;1.50;2;1;2;6;0;4;0;11.70;0;172;315
0;33;1;7;3;0;3;1;4;2;2;1;0;5.60;0;164;265
0;57;1;31;4;0;4;1;2;1;0;4;0;13.10;1;189;264
0;38;3;15;0;0;6;0;1;5;2;0;0;21.80;1;170;280
1;32;5;6;7;0;4;0;3;2;0;1;0;14.80;0;177;318
1;32;1;12;4;1.90;2;0;1;5;0;2;1;9.50;0;178;214
0;56;1;30;6;1.40;3;0;1;10;3;3;0;13.60;0;178;231
0;54;3;37;2;0;5;0;3;1;4;4;1;8.90;0;175;189
0;55;5;36;4;0;6;0;2;3;0;4;0;14;1;168;318
0;59;3;40;8;2.20;4;0;2;6;0;4;0;12;1;180;261
0;51;4;34;9;1.80;4;1;2;5;0;2;0;10.70;0;174;258
1;29;3;7;3;0;4;1;4;1;3;4;1;9.20;0;171;303
1;36;1;18;6;0;1;1;2;4;3;0;0;13.50;0;178;206
0;33;2;16;7;2.10;3;0;3;3;2;2;0;14.70;0;177;316
0;26;2;8;9;2;3;0;4;3;2;4;0;12.60;1;180;172
1;65;3;38;4;1.90;5;0;3;2;2;1;1;30.70;0;164;197
0;54;3;32;8;1.40;4;1;1;15;0;3;0;12.60;0;183;289
0;38;4;13;4;1.80;5;0;4;9;1;2;0;14.30;1;171;186
0;18;2;2;1;0;3;1;2;7;0;3;0;15.40;0;184;273
0;35;3;9;8;2.20;4;0;4;2;0;4;0;11.50;1;184;184
0;42;1;17;0;1.90;3;0;1;15;0;4;1;12.90;1;175;270
1;35;2;15;10;0;3;0;3;1;0;3;1;12.50;1;161;200
0;32;1;9;6;1.70;2;1;1;4;3;3;0;11.10;0;163;232
0;23;1;1;6;0;4;0;2;8;0;1;0;12;1;180;285
0;36;5;18;6;0;5;1;5;3;0;3;0;11.50;0;182;200
1;58;3;39;5;0;3;0;2;3;1;2;1;12.10;0;181;202
1;38;2;20;4;0;4;1;1;5;3;1;1;26.10;1;165;231
0;39;2;12;9;1.60;5;0;1;6;2;2;0;11.90;1;177;195
0;51;4;26;9;0;6;1;2;2;1;3;1;13.20;0;179;234
0;42;3;20;0;1.70;6;0;1;3;3;4;1;11.80;0;182;239
0;32;4;5;4;0;4;1;2;4;0;0;1;12.20;0;174;218
0;58;2;35;2;0;2;0;1;1;4;2;1;12.60;1;181;181
0;47;3;26;2;2.20;5;0;3;3;0;1;0;16;1;180;308
1;23;1;3;7;0;3;0;4;2;2;4;1;13.80;0;175;348
1;46;5;23;6;0;5;0;3;1;1;2;0;9.20;1;180;292
0;41;4;18;10;1.30;5;1;4;3;0;4;1;13.50;1;177;237
1;39;3;12;7;0;5;1;4;1;0;2;1;10.30;0;175;211
0;40;4;16;7;0;6;0;1;29;0;4;0;6.90;1;177;357
0;55;3;33;5;1.70;5;1;2;10;2;2;0;13.20;0;175;312
0;62;6;44;7;0;3;0;1;2;0;3;1;11;1;180;234
0;50;3;26;7;1.90;2;0;4;2;2;4;1;13.40;1;177;309
0;48;2;30;1;2;2;0;4;11;1;3;1;12.10;0;179;292
0;51;5;32;9;2.20;7;0;2;3;0;1;1;10.70;0;181;280
0;35;3;18;6;0;5;0;1;1;1;3;0;14.30;1;192;264
0;53;1;35;0;1.50;4;1;1;3;3;3;0;15.80;0;183;319
0;26;1;2;9;1.70;3;0;3;10;1;1;1;11.40;1;180;259
1;38;5;13;9;0;3;0;2;1;0;1;0;15.80;0;174;334
1;33;1;9;5;0;4;1;4;3;0;2;0;11;0;182;260
0;31;4;10;6;1.80;6;0;5;2;1;0;1;11.60;0;192;316
0;31;1;5;0;0;3;1;2;6;1;4;0;2.90;1;164;328
0;43;2;17;2;1.30;2;1;3;1;1;1;0;11.70;0;153;261
0;41;4;18;10;1.90;4;1;4;2;2;2;1;12.40;1;191;295
0;75;1;57;5;2;4;0;3;3;2;2;1;9;1;175;159
0;28;3;8;8;1.50;3;0;2;7;3;2;0;13.60;0;168;299
1;24;1;1;3;0;1;1;1;4;3;1;1;12;0;171;314
0;17;1;2;10;1.50;3;0;2;1;0;3;0;9.80;1;174;306
0;39;2;18;0;1.80;4;0;3;4;3;1;1;10.80;1;168;325
0;22;1;0;10;1.40;1;1;2;4;1;2;1;8.80;0;177;172
0;24;3;7;6;0.50;3;0;1;2;3;1;1;11.70;1;178;264
0;27;3;4;0;0.60;6;0;5;4;1;1;0;14.40;0;174;261
0;33;1;13;5;1.60;1;0;3;4;2;4;0;14.20;0;195;249
0;45;4;23;5;1.70;5;0;2;4;2;2;0;12.80;0;168;231
0;55;3;33;9;1.70;5;0;5;2;3;4;0;9.30;0;174;205
0;30;4;9;5;0;2;1;1;1;0;0;1;10;0;167;205
0;25;2;3;2;0;4;0;1;4;3;1;0;11.40;0;180;248
1;38;4;15;0;2;5;0;1;15;0;1;1;33.40;1;181;254
0;36;1;16;0;0;3;0;4;22;3;3;1;12.50;0;170;386
0;53;4;34;10;1.80;4;1;4;4;0;3;0;11.40;1;175;306
1;53;3;33;4;0;5;0;5;7;0;0;1;12;0;177;193
0;50;5;24;5;0;6;1;2;4;0;3;0;11.80;1;177;299
1;19;2;1;0;2.60;5;0;1;15;0;2;1;35;0;165;282
0;53;2;33;9;2;4;0;2;9;1;1;0;9.30;1;176;328
1;43;1;20;5;0;1;0;3;2;4;0;1;13.70;0;182;301
0;35;6;14;4;0;6;0;2;4;2;1;0;9.10;0;175;174
0;25;3;3;9;0;5;0;1;5;0;3;1;11.50;1;174;250
0;30;4;12;5;0;2;1;3;4;0;1;0;10.90;0;186;190
0;28;3;6;7;2.20;3;0;3;4;1;1;0;13.60;0;183;168
0;21;2;1;2;3.10;3;0;5;3;0;4;0;10.60;1;187;204
1;20;2;0;6;0;4;1;1;1;0;0;1;12.20;0;177;339
0;46;3;23;4;1.40;5;0;2;4;3;4;0;14.30;1;164;198
0;37;3;14;8;1.40;5;0;3;4;2;4;0;15.70;0;190;221
1;43;1;25;3;1.20;2;0;1;6;1;0;1;13.70;0;169;276
1;64;4;41;3;0;4;0;3;3;2;1;1;10.80;0;190;305
0;61;3;42;6;2.30;5;0;2;5;2;4;0;10;0;180;187
0;26;2;4;5;0;5;0;1;7;0;1;1;10.90;0;176;186
1;38;3;12;2;0;4;1;4;1;1;2;1;12;0;178;340
1;26;2;7;8;0;3;1;1;2;3;0;1;10.70;0;183;225
1;29;2;4;2;0;4;0;1;4;2;2;1;10.60;1;173;219
0;23;1;6;7;1.90;4;0;1;10;3;3;0;12.70;0;180;245
0;24;3;1;6;0;3;0;1;2;3;3;0;13;1;173;219
1;22;2;2;6;0;4;1;2;2;1;2;0;11.10;0;182;237
0;31;3;6;5;0;3;0;4;3;3;1;1;11.40;0;180;154
1;25;1;1;3;0;2;0;3;4;2;1;1;14.20;0;169;225
1;46;1;28;3;2.20;4;1;1;6;3;2;1;14.80;0;158;183
1;52;4;33;2;0;5;1;1;3;0;2;0;11.80;1;179;181
0;39;3;13;10;2.20;6;0;2;2;3;3;0;11.80;0;162;326
0;36;3;16;3;0;6;0;1;22;2;0;0;15.10;0;171;404
0;32;3;14;9;2.10;4;0;1;6;3;4;1;11.80;1;169;316
0;47;1;27;1;2.30;2;0;3;1;3;0;0;18.10;1;182;269
0;55;1;29;1;0;1;0;2;3;0;1;1;12.50;0;173;298
1;37;4;12;4;0;6;0;2;4;0;0;0;14.30;0;182;258
1;47;5;24;2;0;4;1;3;3;3;2;1;13.80;1;172;330
0;28;3;8;5;2;3;0;1;15;2;1;0;12.10;0;181;262
0;50;2;23;8;1.50;3;0;4;4;0;3;1;15.30;0;174;216
0;41;1;16;9;0;4;1;1;2;0;1;0;13.60;0;164;220
0;25;3;3;2;1.20;5;0;1;13;1;1;1;9.60;1;181;304
0;49;2;26;9;1.90;4;0;1;18;2;3;0;9;0;194;198
0;28;4;5;3;2.80;4;0;2;3;2;0;1;11.30;0;180;185
0;27;4;1;5;0;7;0;2;3;1;4;0;12.90;0;179;224
0;38;2;13;4;0;5;0;3;1;3;4;0;6;0;185;311
1;38;1;18;0;1.80;2;1;2;5;1;0;1;11.80;1;174;260
1;62;4;43;3;0;5;1;3;4;0;2;1;12.90;0;172;205
0;45;4;27;8;1.60;5;1;3;3;1;0;0;8;0;167;217
0;35;2;11;5;0;4;1;3;3;2;2;0;15.80;0;181;315
0;29;2;9;9;0;3;0;4;8;0;1;1;10.70;0;175;372
1;52;3;25;3;2.30;3;1;3;3;0;2;1;12.90;1;197;204
1;18;1;2;1;1.40;1;1;2;12;0;0;1;32.30;0;189;317
0;40;2;16;7;0;5;1;3;4;2;2;1;10;0;162;285
0;30;2;7;6;1.70;2;0;1;11;0;3;0;13.50;0;170;270
1;65;5;48;2;0;1;0;1;4;2;1;1;9.80;1;181;372
1;37;2;18;9;0;3;1;2;4;0;2;1;11.20;0;186;301
0;33;2;8;4;0;5;0;1;5;1;0;1;13.20;1;181;230
0;33;2;16;9;2.30;3;0;3;4;2;3;0;13.50;1;179;255
0;33;4;10;3;0;5;1;5;24;0;4;0;14.50;1;173;411
1;61;5;41;3;1.80;7;1;2;6;2;1;1;13.10;1;162;171
0;42;2;15;9;2.20;2;0;3;4;2;3;1;9.70;0;177;264
0;54;5;29;6;0;2;1;1;1;1;3;1;13.90;1;173;314
0;24;2;6;9;0;4;0;1;4;2;0;1;15.20;0;186;170
0;52;5;25;5;0;6;1;4;1;4;1;1;10.60;0;182;248
0;52;6;28;5;0;5;1;1;4;3;0;1;2.70;0;179;276
0;37;4;15;5;0;4;1;2;6;3;4;0;10.50;0;175;239
1;42;4;18;6;0;7;1;3;1;0;4;1;12.10;0;181;255
0;45;1;20;5;0;1;1;2;3;0;3;0;11.50;1;183;211
1;34;1;15;9;0;2;1;3;2;0;2;1;10.40;0;190;235
0;42;1;19;9;2.30;3;1;2;6;2;0;0;13.60;1;181;228
0;45;3;24;2;0;6;0;5;2;0;2;0;12.60;0;193;228
0;23;2;1;2;0.50;3;0;2;9;1;4;0;13.80;0;169;236
1;39;4;13;6;0;7;1;4;4;2;1;1;12.50;0;173;245
0;51;5;34;9;0;5;0;1;3;0;3;0;17.20;1;169;228
0;49;3;26;2;1.70;4;0;5;2;2;3;0;10.60;0;155;341
0;48;5;31;3;0;3;1;1;3;2;0;0;13.80;0;182;273
1;59;3;33;1;0;5;0;1;3;2;2;1;15.10;1;180;352
0;19;1;0;6;0;4;0;5;1;0;1;1;11.90;0;173;192
1;47;1;22;1;1.60;2;0;1;6;3;1;1;12.30;1;180;257
1;67;3;43;0;0;5;0;1;5;1;0;1;25.20;0;186;221
0;45;2;23;5;2.20;5;0;1;2;3;4;0;14.30;0;187;236
0;23;2;0;10;1.80;3;0;3;4;3;0;0;12.70;1;175;241
1;65;3;40;7;0;4;1;1;1;2;2;0;10.10;0;186;224
1;35;2;18;2;0;1;1;2;1;3;1;1;8;1;190;142
0;55;6;37;3;0;2;1;1;28;0;2;0;11.80;1;164;410
1;37;5;15;8;0;5;0;5;1;0;4;1;8.80;1;171;266
0;30;3;3;9;2.20;3;1;1;6;0;0;0;12.30;1;167;281
0;54;1;36;5;2.10;1;0;3;3;1;4;1;9.70;1;176;222
1;34;3;13;7;0;3;1;4;19;3;3;0;14.20;0;175;410
1;44;1;19;1;0;1;1;4;16;0;2;1;11.80;1;174;364
0;62;4;38;7;2.20;7;0;4;3;0;1;0;14.30;1;175;270
0;59;3;38;0;0;3;0;3;3;4;0;0;11.30;0;181;290
0;48;1;22;9;1.50;2;0;3;2;1;2;1;13.50;0;166;260
0;51;5;29;5;1.40;5;0;3;9;1;3;1;10.60;0;175;218
0;34;4;17;6;0;4;1;4;4;3;1;0;3.40;0;186;207
1;61;3;34;5;0;5;1;3;1;0;1;0;13;0;191;307
1;34;2;8;3;0;3;1;2;6;3;0;1;8.80;1;181;222
0;58;3;35;6;1.90;5;1;2;10;0;2;0;9.60;0;173;233
0;70;2;43;2;0;2;1;4;1;0;4;1;12.70;0;176;239
0;53;3;35;8;0;5;0;1;3;2;2;0;13.20;1;182;255
0;39;3;13;6;2;6;0;1;3;3;3;0;10.20;0;182;258
0;42;3;20;5;1.60;3;0;2;6;3;1;1;11.70;1;164;195
1;41;2;21;5;0;5;1;1;3;1;0;0;10.50;0;189;158
0;35;3;10;8;1.40;6;0;5;4;3;3;1;9.60;0;179;168
1;19;1;2;2;2.60;4;0;1;11;0;2;1;23.90;0;190;194
1;53;3;35;0;1.40;4;0;1;7;2;1;1;25.70;0;179;345
1;42;1;20;6;0;3;0;3;2;0;1;0;10.90;0;181;180
1;33;3;12;1;0;5;1;2;6;1;2;0;13.30;0;188;305
1;48;4;25;9;0;5;1;2;4;0;3;0;13.20;1;181;273
0;44;4;21;3;0;5;1;5;3;2;4;0;13.30;0;176;210
0;36;3;19;7;2;4;0;1;3;2;0;0;7.70;1;192;249
0;39;1;21;3;0;1;1;1;4;0;0;1;10.60;0;180;282
0;41;3;18;1;0;3;0;2;5;0;3;0;20.70;0;170;337
1;35;3;12;6;0;6;1;2;4;3;2;0;9.30;1;182;92
0;33;3;16;3;3;3;0;1;2;0;0;1;10.40;1;166;128
0;34;3;11;3;0;4;0;3;4;1;2;1;13.90;1;171;246
0;32;3;8;0;0;4;0;2;4;3;2;0;12.20;1;177;143
0;37;3;18;1;0;4;0;3;4;0;2;1;14.70;0;185;254
0;48;1;21;5;1.70;1;0;2;3;1;0;0;10.80;0;184;265
0;44;1;26;10;1.50;2;0;5;4;2;0;1;9.50;0;180;315
1;25;2;8;2;0;2;0;3;2;0;0;0;13.60;1;188;233
1;20;1;3;3;0;1;0;4;18;0;0;1;14.80;1;182;369
1;49;3;32;4;0;4;1;3;2;1;4;1;12.80;1;197;336
0;39;3;14;8;2;4;0;3;13;2;2;0;11.80;1;174;188
0;48;4;25;10;2.10;4;1;5;2;3;1;1;13.40;0;162;269
0;44;4;23;8;1.60;5;0;5;2;1;2;1;10.70;1;182;306
1;34;5;9;9;0;4;1;2;8;0;3;1;12.80;0;167;276
1;34;5;9;7;0;6;1;3;2;0;1;0;6.80;1;191;227
1;47;1;22;2;2.10;4;1;1;6;0;0;1;11.80;0;173;210
0;25;1;1;1;1.10;2;0;2;2;0;2;0;15.10;1;174;261
0;49;3;28;3;0;1;1;3;3;0;1;0;28;1;183;312
0;56;3;36;9;1.80;4;0;5;3;3;2;0;15.50;1;179;227
0;49;4;23;5;0;6;0;2;2;2;3;1;10.90;1;175;275
0;36;4;10;0;2.70;5;0;5;3;1;1;0;11.60;0;161;294
0;34;4;13;9;1.90;4;0;1;3;1;4;0;12.50;1;188;337
0;55;2;35;6;1.40;5;0;3;7;1;0;0;15.80;1;166;242
0;24;3;5;10;1.90;4;0;4;3;1;3;1;12.30;0;180;202
1;66;3;41;3;0;6;0;1;1;4;0;0;13.30;0;190;278
1;41;6;16;8;0;6;1;2;3;2;0;1;10.70;1;181;248
1;67;4;40;2;2.30;6;0;1;18;3;2;1;35.70;0;183;287
0;44;1;26;8;2.10;3;0;3;2;2;0;1;10.90;1;164;238
0;34;4;7;10;0;6;0;2;2;2;0;0;5.10;0;176;205
0;35;4;13;7;1.90;7;1;4;1;3;2;0;10.70;0;183;242
0;31;3;7;8;2;5;1;2;6;2;1;0;11.40;1;171;153
1;19;1;2;3;0;4;0;3;1;0;1;1;9.40;0;166;324
1;42;1;23;2;0;1;0;1;3;3;2;0;13;0;164;341
1;48;3;27;6;0;6;0;3;4;0;2;1;14;0;194;218
1;53;3;26;0;0;4;0;1;2;1;1;1;12.10;1;173;176
0;17;2;3;1;2.20;5;1;1;3;0;1;1;15.40;1;177;231
1;57;4;38;4;0;7;1;4;3;1;1;1;15;1;187;311
1;48;6;27;7;0;5;0;5;3;2;3;1;11.60;0;180;265
0;38;5;16;4;2.20;6;0;3;2;2;3;1;12.90;0;175;278
0;27;2;10;3;0;2;0;2;3;1;3;0;13.70;1;168;245
0;42;3;25;0;0;6;0;4;3;0;2;1;12.20;1;173;158
0;69;1;49;8;2.30;4;0;3;8;0;4;0;14.10;1;181;162
0;41;1;18;2;0;1;0;4;3;3;2;0;11.20;0;174;162
0;48;1;31;4;0;2;1;1;2;1;4;0;11.50;0;175;312
0;36;4;11;6;1.80;4;0;5;15;2;2;0;12.20;1;166;315
1;26;2;9;4;1.50;5;0;2;5;1;2;1;14.10;0;196;262
0;46;3;22;2;1.60;5;0;5;4;0;3;1;14.40;0;176;241
0;32;4;8;9;2.10;5;0;3;4;1;3;0;12;0;190;166
1;26;6;0;8;0;6;1;3;2;1;0;1;12.90;0;167;234
0;44;5;21;7;0;5;0;2;2;0;1;1;11.70;0;185;229
1;38;2;20;9;0;5;0;3;4;0;0;0;12.40;0;180;184
0;22;4;4;10;1.80;4;0;5;2;2;3;0;13.60;1;178;250
1;30;3;9;6;0;4;0;3;4;0;2;1;15;0;174;231
1;35;1;8;4;0;4;0;1;6;2;1;0;14.10;1;168;227
0;55;4;30;6;1.90;3;0;1;3;0;1;0;8;0;172;194
0;33;3;6;2;2.30;3;0;3;13;1;0;0;13;1;171;304
0;50;1;23;4;0;4;1;4;1;0;2;1;9.20;1;180;265
0;48;2;24;4;1.70;3;0;1;4;1;2;1;11;0;167;175
1;51;5;31;9;0;6;0;2;4;0;1;0;12.90;1;168;261
1;46;1;21;3;0;1;1;3;17;0;2;0;14;0;177;404
1;39;2;17;3;0;5;0;4;2;2;3;0;8.70;1;171;142
1;50;1;29;0;0;4;0;2;3;0;3;0;13;1;164;286
0;40;3;22;5;0;4;0;1;6;2;4;0;13.90;0;183;299
0;47;1;24;9;1.70;1;0;1;4;0;2;0;11.80;1;178;269
0;33;2;6;10;1.60;2;0;4;8;2;0;0;11.10;1;173;211
0;36;5;10;5;0;5;0;1;3;0;4;0;19.40;0;193;349
0;32;2;15;7;0;5;0;2;4;1;4;1;15.40;0;178;125
0;40;3;19;7;1.80;3;0;3;2;2;3;1;11.40;1;173;245
0;35;1;11;9;0;2;1;4;5;0;3;1;16.20;1;179;232
1;54;2;34;1;1.80;2;0;4;4;0;1;1;14.20;0;174;199
0;40;4;22;7;0;4;1;2;3;0;2;0;7.90;0;180;308
0;34;4;15;6;1.40;5;0;5;4;0;2;1;14.30;0;176;173
0;30;2;8;9;0;4;0;1;3;2;4;0;14.10;1;164;290
0;51;3;25;10;1.20;6;0;3;1;2;0;1;15.70;1;180;227
1;24;3;3;1;0.60;6;0;1;3;0;2;1;35.80;0;178;187
1;21;2;1;5;0;2;0;2;4;2;0;1;8.40;1;174;279
0;37;3;13;3;3.50;6;0;3;3;0;1;1;11.70;0;180;262
0;56;3;39;0;0;4;0;4;4;4;3;1;13;0;180;289
1;45;1;23;9;0;1;1;5;21;0;3;1;15.90;1;185;436
0;47;2;29;7;1.70;2;0;3;2;1;1;0;11.40;1;193;341
0;27;2;4;6;0;3;0;2;4;0;0;1;14.80;1;166;276
0;31;2;5;10;0;4;0;2;4;3;0;0;3.20;1;173;191
0;34;2;15;8;1.80;3;0;2;11;1;1;0;9.30;0;188;270
0;40;3;18;9;1.50;3;1;3;2;3;4;0;9.50;0;182;193
1;31;3;10;4;0;4;0;1;6;3;2;1;12.60;0;169;243
0;25;3;0;9;0;4;0;2;6;2;1;0;39.70;0;159;268
0;56;3;36;9;2.30;6;0;3;3;0;2;0;11.60;1;168;211
1;36;4;15;9;0;5;1;2;1;0;3;0;12.10;0;174;245
0;23;2;0;1;2.50;2;0;3;9;3;4;1;8.70;1;177;309
0;48;3;30;8;1.70;3;0;2;3;2;1;0;10.10;1;182;219
1;40;1;23;6;0;3;1;1;2;2;2;0;12.60;0;181;281
0;37;1;17;5;2.70;1;1;1;15;0;4;0;12.90;0;176;248
0;31;1;4;2;0;2;1;2;3;1;2;1;10.70;1;186;241
0;30;4;5;9;2.30;5;0;5;12;3;0;1;12.80;0;180;257
0;46;5;22;10;2.20;1;0;5;8;1;3;1;12.70;0;173;259
0;51;3;24;8;1.90;4;0;4;4;2;1;0;1.80;0;170;127
1;58;4;41;5;0;4;1;4;6;0;2;1;12.40;0;180;272
0;46;1;19;8;0;4;0;2;4;0;4;1;10.70;1;171;283
0;38;2;15;6;2.30;5;1;2;12;0;2;0;12.30;0;186;333
0;54;3;37;4;0;3;1;4;2;1;3;0;15;0;174;289
1;38;5;14;5;0;5;0;1;1;0;1;0;13.70;0;162;212
0;22;1;3;9;0;3;0;4;1;0;4;0;10.30;0;186;244
0;41;3;20;9;1.40;5;0;2;15;3;2;1;11.90;1;173;254
0;45;2;19;10;1.30;3;0;5;7;1;3;1;13.60;0;170;304
0;32;3;15;2;1;4;0;3;7;0;1;1;15.10;0;174;117
