;;;;;;;;;;;;;;
id;Ведущий вуз;Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы РФ;Количество цитирований публикаций, изданных за последние 5 лет, индексируемых в информационно-аналитической системе научного цитирования Web of Science в расчете на 100 НПР;Количество цитирований публикаций, изданных за последние 5 лет, индексируемых в информационно-аналитической системе научного цитирования Scopus в расчете на 100 НПР;Число публикаций организации, индексируемых в информационно-аналитической системе научного цитирования Web of Science, в расчете на 100 НПР;Число публикаций организации, индексируемых в информационно-аналитической системе научного цитирования Scopus, в расчете на 100 НПР;Доходы от НИОКР (за исключением средств бюджетов бюджетной системы Российской Федерации, государственных фондов поддержки науки) в расчете на одного НПР;Удельный вес численности НПР без ученой степени – до 30 лет, кандидатов наук – до 35 лет, докторов наук – до 40 лет, в общей численности НПР;Количество полученных грантов за отчетный год в расчете на 100 НПР;Доходы образовательной организации из средств от приносящей доход деятельности в расчете на одного НПР;Число статей, подготовленных совместно с зарубежными организациями;Доля доходов вуза из внебюджетных источников;Доля доходов вуза от научных исследований и разработок в общих доходах вуза;Доля внебюджетных средств в доходах от научных исследований и разработок
126;0;66.250;10.020;64.590;12.440;20.380;61.130;13.040;27.980;630.570;5.000;27.330;3.470;76.290
127;1;64.830;141.390;189.510;17.080;20.550;64.750;13.520;7.100;809.720;99.000;32.810;10.390;25.250
130;0;92.180;8.290;25.600;6.490;7.750;191.280;15.350;12.260;2411.210;13.000;56.970;7.130;63.350
131;1;75.000;68.500;136.630;22.280;37.150;851.170;13.770;4.570;1645.610;38.000;36.440;25.270;74.580
132;0;62.520;15.790;94.460;7.900;17.430;282.070;13.770;0.000;1122.830;9.000;36.820;12.540;73.750
133;0;73.860;18.350;27.520;5.610;10.190;149.420;2.030;1.020;3039.850;1.000;58.330;6.270;45.710
134;0;76.830;271.140;378.230;31.040;46.910;698.200;16.580;5.410;1860.800;114.000;41.690;21.760;71.880
140;1;77.120;242.110;310.680;61.000;72.590;2376.030;20.710;5.910;3354.150;38.000;44.220;38.970;80.380
141;0;88.730;53.230;76.270;4.830;4.980;47.790;18.270;0.930;1046.560;10.000;34.570;2.590;60.950
143;0;74.120;16.530;111.290;7.710;5.510;94.100;10.620;4.410;532.120;0.000;12.040;6.730;31.640
144;1;73.710;112.250;292.320;71.950;172.160;958.250;23.670;0.850;4077.500;107.000;58.140;14.600;93.610
147;1;83.980;201.600;359.960;32.850;54.680;653.690;22.890;4.270;1692.060;175.000;26.650;25.640;40.160
148;0;70.000;679.040;1056.520;50.740;73.020;218.650;22.560;2.060;1180.740;32.000;18.180;15.750;21.380
150;0;72.410;58.950;194.420;4.830;12.750;129.710;14.360;1.720;2310.740;11.000;49.410;5.130;54.100
151;0;72.060;64.490;98.840;17.070;25.500;136.460;11.900;0.000;1074.320;0.000;25.150;3.320;96.250
155;0;68.390;589.790;85.680;32.880;73.230;58.410;20.430;0.500;1342.650;20.000;28.310;6.200;19.870
158;0;73.650;85.080;169.140;13.840;53.820;313.090;11.210;0.510;3160.000;36.000;46.590;5.040;91.520
159;0;81.290;0.000;0.000;0.000;0.000;49.100;8.330;0.000;1286.450;0.000;32.400;5.300;23.360
160;0;71.990;112.720;143.250;11.860;23.640;13.990;11.650;1.130;1279.090;45.000;33.420;3.650;10.000
161;1;97.520;7135.520;7761.500;217.130;247.860;3185.780;31.120;22.120;3993.680;1042.000;45.550;46.330;78.430
162;1;72.970;261.210;416.840;60.150;94.200;1577.650;26.700;15.490;3206.220;115.000;44.490;27.090;80.800
163;0;68.790;0.000;0.600;3.010;7.230;41.910;9.180;0.000;764.220;0.000;25.110;2.480;55.590
164;0;73.010;26.150;291.840;33.470;26.150;152.720;12.000;0.000;1640.860;0.000;41.600;3.870;100.000
165;1;92.280;3203.410;3610.080;279.070;348.530;1661.290;14.040;0.000;3607.110;613.000;36.990;32.690;52.110
166;0;67.960;43.530;45.200;4.990;9.150;231.890;7.590;0.830;1073.280;5.000;44.140;9.640;98.900
167;0;75.730;10.700;25.460;16.300;10.190;11.070;15.490;4.070;1230.810;1.000;65.530;1.000;58.940
168;0;72.760;31.050;178.940;15.990;32.900;195.330;15.300;1.230;1210.980;7.000;43.630;10.470;67.210
169;0;67.480;261.660;371.650;29.580;46.260;324.180;16.690;7.550;890.620;190.000;28.650;29.560;35.280
222;1;82.650;222.780;276.030;71.810;95.300;150.850;24.140;4.830;4312.160;634.000;63.080;4.900;45.030
173;0;65.860;85.060;128.920;31.260;23.020;121.940;7.260;7.750;1118.780;34.000;38.240;8.370;49.780
174;0;79.960;32.200;34.430;5.550;2.220;153.400;6.670;1.110;1217.540;0.000;42.350;6.100;87.420
175;0;67.010;55.860;87.910;12.820;37.550;87.980;11.820;2.290;621.270;2.000;23.710;4.360;76.940
176;0;72.350;65.090;97.450;15.990;19.940;84.750;15.550;4.700;887.780;18.000;41.760;6.890;57.880
177;0;72.690;449.140;541.920;47.170;102.440;290.220;20.570;4.770;1119.070;59.000;39.080;14.150;71.640
59;1;83.200;2311.900;3623.970;170.460;240.850;2018.470;20.430;18.630;5354.230;673.000;47.370;21.790;81.940
179;0;76.960;8.980;23.210;5.740;9.980;51.940;11.010;0.250;1517.850;0.000;76.160;3.050;85.370
180;0;53.250;0.000;13.700;1.370;13.700;183.390;3.530;0.000;1751.400;0.000;37.180;3.890;100.000
182;0;67.540;18.310;24.320;6.010;7.100;59.340;6.320;1.640;583.140;5.000;30.930;4.050;77.650
183;0;63.750;134.910;109.590;51.670;48.210;129.560;22.030;2.430;753.840;89.000;29.740;7.010;72.930
184;0;67.970;166.890;224.210;33.140;28.780;131.130;9.620;7.740;1032.380;39.000;40.270;6.420;79.660
186;0;71.680;43.490;49.260;14.640;11.540;141.050;13.550;5.770;573.050;3.000;25.400;7.480;83.560
187;0;67.000;77.090;50.710;16.680;23.760;25.110;11.690;4.450;484.580;35.000;25.620;4.070;32.580
189;0;0.000;14.290;66.390;1.680;7.560;121.010;23.330;0.840;797.210;0.000;67.340;10.220;100.000
191;0;68.190;26.710;49.300;9.710;13.090;7.110;12.090;3.270;600.950;64.000;29.660;5.260;6.670
192;0;61.390;33.630;65.770;29.900;32.880;11.430;18.440;7.470;712.050;2.000;22.040;2.890;12.230
194;0;68.570;89.870;132.390;13.990;19.470;51.370;17.700;4.910;1019.290;71.000;49.140;4.460;55.520
195;0;63.240;42.320;118.730;15.360;16.480;71.190;16.270;1.500;383.560;5.000;17.930;3.330;100.000
196;0;71.000;12.950;36.500;6.670;14.130;24.090;12.970;9.420;643.750;0.000;31.770;3.020;39.360
197;1;67.760;154.790;297.210;29.970;54.840;1632.520;26.220;17.310;2530.410;50.000;47.880;35.830;86.200
198;1;73.800;216.520;486.250;31.800;40.540;307.340;25.490;11.910;1204.700;21.000;46.870;14.680;81.450
199;0;67.460;58.910;88.520;19.150;28.650;229.830;9.530;9.170;765.170;29.000;25.800;20.040;38.670
201;0;73.550;113.680;120.760;7.760;7.420;64.660;10.200;3.040;748.550;5.000;37.250;5.700;56.420
202;0;67.480;20.080;50.670;15.300;22.940;96.320;20.470;1.910;1099.300;3.000;58.520;5.430;94.380
206;0;0.000;2404.760;2757.940;95.240;134.920;69.440;0.000;0.000;516.030;0.000;23.240;50.540;6.190
207;0;72.830;26.440;45.380;18.150;17.360;141.040;15.820;9.080;1203.490;27.000;50.050;7.780;75.430
209;0;91.700;73.030;164.280;26.400;58.360;75.850;21.420;3.880;2906.690;173.000;56.720;3.980;37.170
210;0;65.310;33.090;78.350;5.840;25.300;57.200;13.580;4.870;890.400;8.000;18.990;7.790;15.660
211;0;64.820;233.590;341.940;15.530;25.320;191.940;15.940;7.760;946.420;22.000;32.970;10.170;65.740
212;0;85.010;264.300;63.840;73.600;19.380;123.800;11.440;6.100;2149.610;30.000;60.310;4.150;83.770
213;0;78.430;33.810;39.130;16.910;19.760;94.850;8.700;4.840;1721.120;66.000;56.430;4.460;69.690
214;0;71.860;11.650;66.450;16.830;25.890;54.780;7.140;3.880;1289.560;12.000;40.460;2.400;71.740
215;0;73.780;0.000;0.000;0.000;0.000;151.830;13.000;0.000;3035.860;0.000;59.770;3.690;81.020
1766;1;95.760;590.730;669.770;75.460;86.430;721.460;26.340;6.490;3401.450;810.000;41.640;20.100;43.950
219;1;83.320;76.630;120.280;24.030;35.530;777.880;17.050;3.480;3239.640;65.000;56.660;20.090;67.720
220;0;79.000;24.480;202.570;6.730;25.090;22.820;13.840;0.000;1925.830;2.000;50.450;12.840;4.650
1792;1;83.830;115.830;186.680;56.130;95.540;640.770;20.780;1.960;4557.310;254.000;58.920;12.440;66.600
223;0;79.940;298.520;364.790;90.760;120.720;869.090;17.070;9.840;1551.200;111.000;30.440;20.700;82.380
228;0;70.980;22.530;40.910;17.790;39.330;72.540;25.690;6.320;1404.940;4.000;69.860;5.020;71.790
229;0;57.370;9.170;23.750;3.780;7.020;608.460;17.910;1.080;1055.720;0.000;37.950;22.830;95.810
230;0;62.150;67.850;142.790;18.210;28.370;318.300;11.150;3.260;767.730;17.000;36.270;20.710;72.620
231;0;73.320;13.330;16.310;12.410;8.270;69.840;19.090;3.450;800.570;8.000;47.380;4.560;90.700
232;0;62.740;176.460;194.600;15.490;24.180;141.770;6.470;9.820;1107.670;15.000;33.160;4.910;86.410
233;0;81.560;6.530;7.030;2.510;2.510;4.020;2.230;0.000;835.240;0.000;31.440;1.900;7.970
234;1;90.580;1398.870;1774.740;199.550;274.330;2239.870;32.180;11.270;3090.420;1144.000;40.100;43.550;66.740
236;0;74.990;127.350;182.500;10.260;32.800;296.010;18.830;6.960;2055.770;18.000;49.690;7.310;97.930
237;1;77.900;113.440;454.030;34.050;75.950;1647.210;27.550;9.370;2343.280;36.000;45.220;34.120;93.170
239;0;64.290;17.560;76.580;15.650;10.580;1316.460;7.050;0.000;1960.310;13.000;46.100;31.950;96.910
240;1;81.080;2305.500;2813.930;84.520;119.110;1028.290;17.380;10.250;2563.750;1129.000;45.230;26.130;69.430
242;0;75.880;177.610;224.700;43.420;52.160;387.890;15.160;8.460;1628.950;24.000;45.790;14.090;77.380
243;0;76.510;51.130;505.610;10.510;27.610;211.300;10.840;4.630;1467.380;49.000;38.330;8.070;68.390
245;0;77.760;129.110;136.950;21.080;22.480;342.420;18.070;5.400;1679.530;64.000;46.130;10.110;93.040
247;1;78.160;404.080;477.400;62.760;79.160;820.250;19.170;4.820;1261.590;107.000;38.580;28.250;88.810
217;1;74.660;168.350;218.740;51.640;63.840;86.480;15.200;8.660;972.590;138.000;24.810;6.750;32.680
252;0;65.590;201.530;292.090;22.920;35.380;344.480;14.250;7.640;1322.190;20.000;44.340;18.670;61.870
254;0;80.920;6.790;38.890;8.610;8.090;51.110;10.300;2.870;1570.720;18.000;67.480;5.640;38.940
255;0;82.200;1.480;0.820;2.140;1.810;6.260;17.610;1.980;1345.920;5.000;69.650;0.910;35.740
257;0;63.630;262.410;311.890;23.840;32.820;18.140;26.770;9.310;789.820;93.000;31.240;11.500;6.240
258;1;67.990;277.160;375.120;53.660;70.400;241.000;16.730;10.420;741.200;162.000;30.240;13.930;70.600
260;0;57.770;7.780;19.460;3.340;5.000;180.010;19.900;0.000;1944.650;1.000;26.270;2.920;83.160
261;0;56.790;5.200;8.460;6.500;5.200;22.750;4.400;2.600;483.220;1.000;14.650;4.510;15.300
265;0;55.070;28.220;45.880;7.360;13.990;7.970;7.080;0.490;373.910;0.000;26.350;0.740;76.150
266;1;70.140;58.280;107.320;17.000;21.250;156.330;14.200;2.210;767.300;56.000;40.190;9.340;87.630
267;0;64.370;16.830;29.390;11.310;13.570;30.590;8.160;3.010;599.250;10.000;38.090;2.890;67.270
269;0;56.860;12.550;33.000;8.250;6.810;84.460;16.930;1.080;619.590;0.000;23.890;3.910;83.260
270;0;67.460;66.260;127.070;9.530;13.160;68.160;27.020;0.000;936.720;9.000;32.730;3.680;64.710
271;0;58.410;64.490;81.680;21.610;20.940;168.840;11.130;5.510;723.100;52.000;23.210;7.900;68.580
272;0;59.190;37.720;67.440;23.330;64.890;55.200;9.540;6.070;736.290;16.000;32.530;5.300;46.010
276;0;69.760;12.210;38.270;15.060;15.470;90.790;5.490;12.620;666.520;13.000;34.950;6.110;77.910
278;0;69.450;48.770;140.090;11.480;19.130;74.620;7.550;2.870;1111.110;4.000;43.290;3.470;83.880
281;0;64.520;420.240;436.240;22.200;27.100;106.580;6.960;7.840;687.960;24.000;19.120;7.360;40.220
283;0;60.380;123.460;129.680;27.380;42.810;157.000;19.570;9.460;960.890;27.000;42.210;12.640;54.560
284;0;67.080;100.560;130.940;11.390;17.170;251.860;26.360;22.130;1546.970;23.000;61.460;11.130;89.870
286;0;60.150;91.400;174.700;15.930;29.630;69.690;8.940;8.110;682.450;16.000;37.100;4.700;80.570
287;0;70.420;68.350;92.920;21.270;27.670;112.470;8.770;9.500;911.070;25.000;39.660;7.220;67.850
288;0;64.650;29.210;53.360;10.850;13.010;233.150;9.230;3.620;1236.060;4.000;42.850;9.210;87.750
291;0;61.190;70.890;97.990;28.180;29.920;73.300;13.300;6.940;1216.190;45.000;40.880;7.940;31.040
292;0;71.530;56.140;110.840;31.510;41.820;111.810;12.560;5.440;1034.860;18.000;35.260;5.450;69.910
293;0;71.580;1349.550;1385.710;50.010;48.990;37.880;9.220;41.560;842.660;95.000;33.190;3.190;46.710
1507;1;66.450;300.590;355.260;37.460;75.320;307.740;21.590;10.900;1018.050;217.000;19.250;8.450;68.880
295;0;69.960;464.230;575.380;32.590;58.700;1228.140;25.030;9.600;2269.550;38.000;44.860;42.470;57.160
170;1;75.360;381.850;448.030;55.290;65.480;555.590;25.060;8.710;1358.570;244.000;47.050;26.260;73.280
297;0;66.520;39.180;59.480;5.360;11.840;249.440;13.320;5.640;896.720;35.000;39.370;11.470;95.500
298;0;67.450;62.250;109.730;12.530;25.320;54.680;14.780;5.140;1021.170;3.000;35.460;4.720;40.260
299;0;55.440;31.910;33.520;4.040;15.350;40.290;14.710;11.710;543.700;3.000;17.490;2.660;48.790
301;0;67.840;84.520;169.610;34.930;67.580;91.680;17.280;3.520;1426.560;57.000;46.060;3.330;89.010
178;1;87.010;7351.080;8798.850;274.900;304.290;366.910;10.960;14.190;1168.800;1242.000;30.970;21.430;45.360
303;0;68.240;123.600;148.910;14.960;17.340;66.020;11.530;2.520;968.510;15.000;41.370;3.600;78.350
304;0;69.750;42.810;74.240;7.980;7.260;87.180;15.100;8.220;545.810;15.000;31.890;6.120;83.270
305;0;63.950;48.320;170.040;14.500;36.540;284.600;14.540;18.730;1065.670;6.000;41.840;13.250;84.330
306;0;65.880;113.430;192.280;19.290;21.490;349.470;12.200;5.960;1210.280;41.000;54.890;18.520;85.570
308;0;79.690;5.450;3.640;3.030;1.820;121.140;0.840;0.610;1094.500;0.000;38.540;5.290;80.610
309;0;86.800;86.160;0.830;16.860;3.120;150.740;16.000;1.870;1769.000;0.000;71.400;7.140;85.220
310;0;59.600;6.450;30.180;7.480;17.540;138.270;10.160;1.550;1251.060;3.000;48.220;5.430;98.150
311;0;55.030;94.680;154.430;9.680;19.780;133.610;11.750;0.420;992.770;14.000;33.680;4.700;96.460
312;0;72.820;44.530;63.220;18.140;8.520;76.630;48.070;6.600;1239.190;2.000;49.110;3.080;98.460
1520;1;71.970;188.600;243.450;40.420;46.750;375.960;18.640;3.080;2384.570;258.000;37.600;7.060;83.940
315;0;75.910;22.800;32.730;27.240;22.380;87.630;12.930;3.800;2224.320;25.000;82.720;3.260;100.000
318;0;69.630;254.080;315.490;18.100;32.810;230.600;20.690;5.140;808.800;336.000;34.810;14.480;68.540
319;0;76.100;39.490;72.060;25.850;36.800;418.710;15.890;0.000;1759.030;28.000;58.170;14.600;94.870
320;0;54.880;86.580;13.180;6.780;9.790;186.110;17.150;2.640;1397.830;0.000;32.700;4.350;100.000
321;0;71.690;15.340;17.800;2.450;3.070;19.850;5.850;0.000;1760.270;0.000;58.140;0.720;91.590
322;0;63.160;10.470;13.970;9.400;8.860;51.700;6.200;7.790;770.980;1.000;26.730;2.050;87.630
323;0;70.650;42.000;76.420;16.920;25.960;113.160;9.980;18.960;1294.730;14.000;47.750;4.360;95.650
324;0;71.770;102.230;109.920;43.160;32.330;93.790;21.490;7.510;1434.310;43.000;59.310;5.270;73.600
325;0;65.460;112.260;65.160;38.740;39.620;159.510;18.440;12.770;1078.460;17.000;35.740;7.040;75.040
326;0;66.140;3.650;5.480;1.830;1.560;47.200;8.330;1.830;401.550;0.000;26.360;3.750;82.720
327;0;56.560;10.110;17.130;4.910;8.280;85.780;17.510;2.390;344.840;13.000;16.990;4.320;97.710
328;0;59.730;7.650;23.820;4.480;7.940;53.140;10.350;1.010;556.610;4.000;28.530;3.010;90.400
329;0;65.670;12.380;113.860;4.130;4.540;36.010;6.380;6.600;864.590;1.000;39.100;2.030;80.270
330;0;66.860;70.800;95.690;9.110;17.120;96.690;9.850;4.980;1169.200;4.000;54.000;6.030;74.010
1;0;64.120;21.990;74.150;5.070;10.150;60.900;7.010;15.510;1065.590;0.000;44.280;5.730;44.130
2;0;67.090;43.080;38.540;5.830;3.240;81.550;11.510;4.210;426.990;0.000;22.380;4.730;90.280
3;0;63.470;77.960;152.550;9.120;20.970;63.460;8.840;4.480;550.510;90.000;29.040;4.260;78.580
4;0;72.840;363.860;405.410;59.730;60.390;150.560;18.670;12.350;1115.210;294.000;43.270;8.460;69.070
5;0;60.890;50.020;53.350;14.340;14.340;122.350;9.320;6.000;1151.880;9.000;40.410;5.690;75.420
6;0;61.100;21.010;22.570;4.670;6.230;241.770;6.620;3.890;592.780;2.000;21.510;9.290;94.480
7;0;50.260;138.990;217.510;23.340;33.950;113.440;8.700;1.060;603.160;1.000;21.850;4.110;100.000
9;0;66.530;1.920;20.000;2.310;5.380;45.350;5.140;3.080;592.090;4.000;36.480;3.110;89.770
11;0;65.510;31.120;45.210;9.740;14.260;56.440;16.570;4.350;862.510;16.000;45.890;4.100;73.290
12;0;72.470;25.870;16.090;15.000;13.480;123.710;13.540;0.650;2011.400;7.000;69.260;4.260;100.000
13;0;69.660;19.860;35.310;4.750;10.020;182.700;23.580;0.170;790.750;8.000;23.780;11.650;47.150
14;0;65.080;81.260;202.740;11.220;16.420;63.230;6.970;26.810;1017.670;22.000;33.750;2.100;100.000
15;0;68.710;199.570;238.000;34.730;44.940;190.850;28.720;11.620;1159.880;378.000;48.490;9.520;83.850
16;0;65.230;52.180;74.590;28.970;42.870;218.000;24.390;17.570;849.210;56.000;38.800;15.130;65.840
17;1;69.420;503.820;632.110;34.940;41.560;285.980;21.190;5.550;1436.800;176.000;49.380;17.700;55.510
19;0;64.240;141.670;180.950;17.860;14.290;29.090;6.860;15.480;241.520;2.000;12.020;3.370;43.010
21;0;61.250;96.660;134.870;5.620;7.310;72.980;7.490;1.120;826.290;5.000;28.760;2.540;100.000
23;0;54.730;19.780;45.490;4.350;13.450;185.090;14.710;0.400;622.810;0.000;24.070;7.460;95.830
24;0;54.370;35.710;53.950;9.880;28.880;46.660;6.020;3.800;827.680;1.000;36.650;2.960;69.790
25;0;60.500;150.760;280.560;12.210;18.310;175.680;17.020;11.940;589.040;23.000;31.950;13.390;71.180
26;0;69.410;48.620;74.880;11.020;12.320;66.210;8.220;0.000;886.300;8.000;42.210;3.540;89.150
27;0;63.290;61.940;71.840;16.350;18.880;58.790;16.520;10.360;668.720;64.000;31.230;3.280;83.590
28;0;70.190;232.100;350.210;35.020;22.660;106.980;15.610;2.750;4036.300;23.000;71.320;2.310;81.740
30;0;65.280;98.620;148.280;17.510;31.110;159.120;12.430;6.680;741.070;118.000;36.060;10.300;75.180
34;0;71.430;28.830;71.770;9.510;11.650;50.380;7.640;0.000;621.320;1.000;27.040;3.650;60.040
35;0;58.610;163.540;378.020;20.110;43.030;668.760;11.500;14.340;1287.980;14.000;46.050;25.510;93.740
36;0;68.520;43.600;56.600;43.200;39.000;4.930;22.950;24.400;695.240;58.000;35.550;7.460;3.380
39;0;62.260;10.920;24.690;9.020;11.160;51.410;10.630;3.320;637.200;19.000;28.080;2.790;81.100
40;0;63.770;255.690;271.140;10.570;26.830;123.520;14.470;4.880;1111.830;8.000;49.590;10.340;53.260
41;0;62.070;62.120;123.910;17.840;26.430;97.700;20.860;1.980;841.840;19.000;33.980;5.330;73.930
43;0;71.250;39.530;144.000;8.780;13.180;35.340;7.100;3.450;708.830;14.000;36.310;3.620;50.000
44;0;64.940;60.510;85.820;17.910;26.340;187.890;11.740;1.960;787.960;0.000;30.710;8.820;83.070
45;0;73.320;79.510;96.680;25.520;32.250;47.840;21.100;7.430;823.740;93.000;40.060;9.130;25.490
46;0;54.840;7.320;19.820;6.100;13.110;48.930;11.590;16.470;807.450;2.000;29.950;3.110;58.330
48;0;81.000;129.410;94.120;0.000;3.920;22.070;15.380;0.000;272.120;0.000;6.550;10.760;4.940
50;0;67.780;20.610;74.690;17.860;29.100;74.420;23.680;2.870;873.710;28.000;36.600;5.240;59.470
51;0;71.670;2.470;30.830;12.330;30.830;97.750;15.280;1.230;2079.680;23.000;40.850;1.920;100.000
52;0;72.570;11.370;58.770;2.840;9.480;93.150;13.460;3.790;1046.430;0.000;31.050;2.760;100.000
53;0;57.400;179.450;201.220;9.560;16.990;41.620;7.280;53.620;324.270;5.000;11.740;3.560;42.300
57;0;82.930;458.410;289.730;60.910;71.070;260.720;12.570;3.120;1516.500;8.000;49.720;21.470;39.810
58;0;90.950;9.970;12.180;26.580;21.040;192.380;13.980;7.750;4713.850;5.000;57.340;6.480;36.130
1519;1;80.030;474.830;574.830;87.170;87.910;139.870;30.160;13.960;1737.590;1463.000;52.670;20.070;21.130
60;0;82.720;6.760;53.840;6.240;9.360;70.870;11.070;1.300;2924.280;0.000;52.050;2.860;44.050
61;0;50.250;21.110;33.170;10.550;5.530;64.230;15.360;1.010;593.860;6.000;24.290;4.070;64.470
62;0;54.380;23.780;29.720;4.690;6.260;0.000;7.880;4.380;133.630;3.000;7.910;0.730;0.000
63;0;52.120;71.670;64.240;4.460;11.510;397.600;14.750;1.110;637.090;6.000;32.610;27.520;73.960
64;0;61.430;128.730;122.980;20.060;24.830;124.040;3.800;28.280;467.360;33.000;23.460;9.210;67.600
66;0;60.540;3.910;58.680;23.470;30.320;48.810;14.850;0.980;632.080;0.000;21.880;2.600;64.970
70;0;60.810;75.940;171.510;13.980;33.670;48.900;18.620;2.490;692.540;84.000;26.750;4.660;40.510
72;0;63.290;49.450;56.900;17.550;21.270;39.810;11.950;54.770;422.570;6.000;18.320;5.230;32.970
76;0;66.090;228.740;216.870;19.060;21.220;23.450;7.690;12.230;598.460;6.000;34.820;3.110;43.900
77;0;68.840;967.050;1004.710;94.990;96.710;211.550;13.900;18.830;743.680;38.000;31.270;13.880;64.100
78;0;66.960;27.570;56.930;5.620;13.280;151.000;12.120;1.790;677.870;2.000;32.650;11.060;65.790
79;0;63.140;115.840;145.390;10.050;13.990;111.770;15.800;3.740;913.610;0.000;36.740;5.670;79.270
80;0;62.980;0.670;4.030;2.020;2.690;101.540;10.790;0.000;464.580;0.000;17.400;4.140;91.920
82;1;68.060;97.620;171.060;35.380;40.980;276.080;13.440;0.000;1178.760;68.000;32.040;9.200;81.600
83;0;64.470;446.450;539.480;27.200;30.830;132.660;13.510;5.920;1126.790;64.000;36.940;8.050;54.060
85;0;64.450;55.370;116.490;13.930;37.790;25.470;8.230;2.790;1133.990;71.000;40.070;6.780;13.280
86;0;73.520;35.980;66.310;12.460;18.110;140.660;21.390;1.410;1153.640;8.000;54.370;6.760;98.030
87;1;75.910;234.990;528.610;37.190;63.670;741.690;18.610;0.000;1443.780;114.000;35.490;25.340;71.960
88;1;70.100;213.270;322.640;37.550;46.360;598.430;21.840;2.910;1069.720;1.000;32.050;19.200;93.380
91;0;70.870;76.690;252.570;17.420;38.470;315.170;15.140;2.180;1093.240;13.000;40.390;11.920;97.640
92;0;62.620;17.770;14.690;11.610;11.610;14.220;4.330;6.870;575.010;5.000;27.930;5.660;12.200
93;0;71.820;70.480;66.050;6.640;12.920;85.720;13.990;2.580;1067.570;5.000;44.840;3.600;100.000
